"Id","Entrata"
"333","2023-09-15 09:01:40"
"444","2023-09-15 08:57:14"
"999","2023-09-15 08:53:57"
"12","2023-09-15 08:49:01"
"3123","2023-09-14 11:42:37"
"3111","2023-09-14 11:38:30"
"3086","2023-09-14 11:38:12"
"81","2023-09-14 11:37:59"
"1866","2023-09-14 11:37:27"
"2187","2023-09-14 11:34:02"
"2804","2023-09-14 11:30:48"
"2342","2023-09-14 11:30:24"
"2377","2023-09-14 11:28:36"
"3088","2023-09-14 11:27:38"
"144","2023-09-14 11:26:51"
"980","2023-09-14 11:26:29"
"635","2023-09-14 11:26:14"
"2440","2023-09-14 11:25:01"
"3048","2023-09-14 11:24:06"
"1781","2023-09-14 11:24:03"
"3084","2023-09-14 11:23:48"
"114","2023-09-14 11:23:32"
"1355","2023-09-14 11:22:50"
"299","2023-09-14 11:22:32"
"690","2023-09-14 11:22:10"
"2872","2023-09-14 11:20:19"
"2637","2023-09-14 11:19:10"
"3087","2023-09-14 11:18:52"
"662","2023-09-14 11:18:36"
"2065","2023-09-14 11:17:27"
"2142","2023-09-14 11:17:03"
"311","2023-09-14 11:15:13"
"2803","2023-09-14 11:12:48"
"1164","2023-09-14 11:12:40"
"1725","2023-09-14 11:11:46"
"2704","2023-09-14 11:11:40"
"2701","2023-09-14 11:11:36"
"25","2023-09-14 11:10:00"
"996","2023-09-14 11:09:55"
"1848","2023-09-14 11:09:29"
"3134","2023-09-14 11:09:01"
"1723","2023-09-14 11:08:58"
"2141","2023-09-14 11:08:47"
"1799","2023-09-14 11:08:21"
"1800","2023-09-14 11:08:14"
"2930","2023-09-14 11:07:44"
"153","2023-09-14 11:07:38"
"859","2023-09-14 11:07:30"
"80","2023-09-14 11:07:18"
"86","2023-09-14 11:07:14"
"2895","2023-09-14 11:07:12"
"2845","2023-09-14 11:07:08"
"1949","2023-09-14 11:07:07"
"582","2023-09-14 11:06:51"
"1108","2023-09-14 11:06:27"
"97","2023-09-14 11:06:13"
"2529","2023-09-14 11:06:12"
"142","2023-09-14 11:05:50"
"393","2023-09-14 11:05:08"
"2609","2023-09-14 11:03:25"
"875","2023-09-14 11:03:14"
"1074","2023-09-14 11:02:28"
"120","2023-09-14 11:02:23"
"2671","2023-09-14 11:02:17"
"1206","2023-09-14 11:01:35"
"2782","2023-09-14 11:01:30"
"2965","2023-09-14 11:01:15"
"2506","2023-09-14 11:01:11"
"2507","2023-09-14 11:01:09"
"70","2023-09-14 11:01:04"
"1618","2023-09-14 11:00:12"
"2981","2023-09-14 11:00:02"
"2493","2023-09-14 10:59:23"
"1559","2023-09-14 10:58:49"
"1006","2023-09-14 10:58:41"
"3115","2023-09-14 10:58:23"
"21","2023-09-14 10:57:28"
"693","2023-09-14 10:57:25"
"2514","2023-09-14 10:56:44"
"62","2023-09-14 10:56:31"
"18","2023-09-14 10:56:18"
"59","2023-09-14 10:56:03"
"2840","2023-09-14 10:55:45"
"1294","2023-09-14 10:55:38"
"812","2023-09-14 10:53:40"
"3079","2023-09-14 10:52:49"
"228","2023-09-14 10:52:42"
"1418","2023-09-14 10:51:18"
"881","2023-09-14 10:51:08"
"1910","2023-09-14 10:49:59"
"439","2023-09-14 10:49:46"
"790","2023-09-14 10:47:42"
"87","2023-09-14 10:47:24"
"2985","2023-09-14 10:46:47"
"2879","2023-09-14 10:45:49"
"36","2023-09-14 10:45:41"
"2476","2023-09-14 10:45:35"
"2920","2023-09-14 10:44:14"
"743","2023-09-14 10:44:09"
"477","2023-09-14 10:43:26"
"1763","2023-09-14 10:43:20"
"951","2023-09-14 10:43:13"
"3029","2023-09-14 10:43:07"
"2881","2023-09-14 10:43:03"
"2888","2023-09-14 10:42:58"
"2833","2023-09-14 10:42:54"
"2874","2023-09-14 10:41:15"
"2289","2023-09-14 10:41:10"
"785","2023-09-14 10:41:02"
"526","2023-09-14 10:40:52"
"3016","2023-09-14 10:40:39"
"1409","2023-09-14 10:40:34"
"1904","2023-09-14 10:40:30"
"2711","2023-09-14 10:37:38"
"2815","2023-09-14 10:37:32"
