"ID","Entrata"
"1","2023-10-09 05:07:08"
"2","2023-10-09 05:07:09"
"3","2023-10-09 05:07:09"
"4","2023-10-09 05:07:10"
"5","2023-10-09 05:07:11"
"6","2023-10-09 05:07:18"
"9","2023-10-09 05:07:19"
"12","2023-10-09 05:07:21"
"23","2023-08-31 10:13:10"
"24","2023-08-31 10:33:45"
"25","2023-08-31 11:11:49"
"36","2023-08-31 10:38:29"
"40","2023-08-31 10:08:47"
"45","2023-08-31 10:10:42"
"52","2023-08-31 10:12:09"
"62","2023-08-31 10:53:24"
"63","2023-08-31 10:10:45"
"78","2023-10-09 05:07:19"
"81","2023-08-31 11:37:18"
"86","2023-08-31 11:12:40"
"93","2023-08-31 10:09:25"
"95","2023-08-31 10:33:37"
"97","2023-08-31 10:57:09"
"105","2023-08-31 10:41:50"
"111","2023-08-31 10:54:35"
"124","2023-08-31 10:41:32"
"127","2023-08-31 10:10:33"
"143","2023-08-31 10:52:17"
"173","2023-08-31 10:15:41"
"183","2023-08-31 10:13:11"
"219","2023-08-31 10:15:11"
"231","2023-08-31 10:08:37"
"260","2023-08-31 10:14:26"
"299","2023-08-31 10:57:45"
"311","2023-08-31 10:30:40"
"345","2023-08-31 10:14:13"
"371","2023-08-31 10:16:52"
"393","2023-08-31 11:09:16"
"409","2023-08-31 10:52:48"
"452","2023-08-31 10:11:46"
"456","2023-10-09 06:56:26"
"477","2023-08-31 10:17:02"
"483","2023-08-31 10:08:25"
"534","2023-08-31 10:10:03"
"576","2023-08-31 10:08:34"
"582","2023-08-31 11:04:28"
"591","2023-08-31 10:52:55"
"612","2023-08-31 10:41:17"
"643","2023-08-31 10:21:45"
"646","2023-08-31 10:59:43"
"652","2023-08-31 10:12:11"
"662","2023-08-31 11:04:18"
"670","2023-08-31 11:13:19"
"675","2023-08-31 10:15:58"
"691","2023-08-31 11:14:39"
"694","2023-08-31 10:55:04"
"697","2023-08-31 10:29:20"
"704","2023-08-31 11:09:02"
"726","2023-08-31 10:10:56"
"728","2023-08-31 11:14:47"
"739","2023-08-31 10:11:51"
"812","2023-08-31 11:10:52"
"816","2023-08-31 10:28:12"
"818","2023-08-31 10:54:38"
"830","2023-08-31 10:13:36"
"843","2023-08-31 11:10:48"
"859","2023-08-31 10:37:55"
"884","2023-08-31 10:51:45"
"886","2023-08-31 10:11:59"
"894","2023-08-31 11:11:46"
"905","2023-08-31 10:12:54"
"908","2023-08-31 11:14:29"
"909","2023-08-31 10:29:29"
"930","2023-08-31 11:02:01"
"981","2023-08-31 10:10:52"
"999","2023-08-31 11:09:43"
"1097","2023-08-31 11:32:23"
"1145","2023-08-31 10:11:21"
"1199","2023-08-31 10:55:40"
"1288","2023-08-31 10:12:38"
"1299","2023-08-31 10:52:59"
"1300","2023-08-31 10:49:49"
"1307","2023-08-31 10:09:38"
"1353","2023-08-31 10:09:19"
"1385","2023-08-31 10:55:33"
"1395","2023-08-31 10:38:27"
"1409","2023-08-31 10:12:57"
"1417","2023-08-31 10:10:29"
"1460","2023-08-31 10:43:37"
"1509","2023-08-31 10:55:35"
"1534","2023-08-31 10:18:36"
"1618","2023-08-31 10:19:28"
"1675","2023-08-31 10:11:56"
"1730","2023-08-31 10:22:33"
"1746","2023-08-31 10:13:16"
"1750","2023-08-31 10:09:32"
"1764","2023-08-31 11:02:14"
"1781","2023-08-31 10:49:33"
"1799","2023-08-31 10:29:18"
"1800","2023-08-31 10:29:15"
"1816","2023-08-31 10:37:08"
"1838","2023-08-31 11:14:35"
"1862","2023-08-31 10:21:13"
"1904","2023-08-31 10:12:27"
"1910","2023-08-31 10:13:42"
"1922","2023-08-31 10:44:36"
"1931","2023-08-31 10:32:41"
"1949","2023-08-31 10:12:29"
"2013","2023-08-31 10:15:21"
"2042","2023-08-31 11:36:36"
"2062","2023-08-31 10:13:39"
"2081","2023-08-31 10:36:24"
"2113","2023-08-31 10:13:01"
"2139","2023-08-31 10:12:02"
"2200","2023-08-31 10:08:28"
"2273","2023-08-31 10:11:42"
"2289","2023-08-31 10:44:45"
"2294","2023-08-31 10:12:51"
"2315","2023-08-31 10:41:09"
"2316","2023-08-31 10:09:29"
"2318","2023-08-31 10:58:29"
"2323","2023-08-31 10:37:47"
"2333","2023-08-31 11:01:26"
"2350","2023-08-31 10:11:31"
"2380","2023-08-31 10:12:06"
"2383","2023-08-31 10:30:53"
"2390","2023-08-31 11:09:11"
"2392","2023-08-31 10:29:12"
"2394","2023-08-31 10:31:22"
"2441","2023-08-31 10:55:22"
"2444","2023-08-31 10:11:05"
"2470","2023-08-31 10:12:24"
"2475","2023-08-31 10:08:41"
"2477","2023-08-31 10:54:50"
"2478","2023-08-31 11:01:55"
"2481","2023-08-31 10:32:02"
"2489","2023-08-31 11:18:34"
"2490","2023-08-31 10:54:42"
"2493","2023-08-31 10:11:08"
"2506","2023-08-31 10:36:39"
"2507","2023-08-31 10:36:36"
"2514","2023-08-31 11:01:50"
"2529","2023-08-31 10:54:54"
"2564","2023-08-31 10:17:14"
"2569","2023-08-31 10:17:07"
"2571","2023-08-31 10:10:15"
"2591","2023-08-31 10:37:45"
"2598","2023-08-31 10:54:46"
"2609","2023-08-31 10:52:21"
"2630","2023-08-31 10:15:27"
"2666","2023-08-31 10:19:46"
"2672","2023-08-31 10:19:01"
"2695","2023-08-31 10:23:04"
"2698","2023-08-31 10:16:12"
"2699","2023-08-31 10:14:20"
"2711","2023-08-31 10:44:40"
"2719","2023-08-31 10:08:44"
"2721","2023-08-31 10:10:36"
"2736","2023-08-31 10:21:41"
"2747","2023-08-31 10:54:07"
"2750","2023-08-31 10:48:46"
"2754","2023-08-31 10:09:36"
"2760","2023-08-31 10:29:23"
"2767","2023-08-31 10:32:18"
"2771","2023-08-31 10:44:27"
"2772","2023-08-31 10:44:23"
"2777","2023-08-31 10:10:22"
"2782","2023-08-31 10:55:00"
"2792","2023-08-31 10:44:14"
"2800","2023-08-31 10:11:03"
"2801","2023-08-31 10:10:26"
"2804","2023-08-31 10:45:59"
"2814","2023-08-31 10:12:21"
"2816","2023-08-31 10:12:20"
"2829","2023-08-31 10:12:03"
"2833","2023-08-31 10:30:44"
"2855","2023-08-31 10:19:51"
"2861","2023-08-31 10:10:11"
"2863","2023-08-31 10:19:23"
"2865","2023-08-31 11:18:45"
"2866","2023-08-31 11:18:36"
"2874","2023-08-31 10:38:39"
"2876","2023-08-31 11:36:43"
"2877","2023-08-31 10:11:36"
"2878","2023-08-31 10:12:36"
"2879","2023-08-31 10:34:07"
"2883","2023-08-31 10:37:21"
"2888","2023-08-31 10:30:46"
"2889","2023-08-31 10:08:51"
"2890","2023-08-31 11:05:13"
"2893","2023-08-31 10:22:40"
"2895","2023-08-31 10:52:19"
"2900","2023-08-31 10:12:42"
"2903","2023-08-31 11:08:12"
"2905","2023-08-31 10:11:39"
"2912","2023-08-31 10:12:14"
"2913","2023-08-31 10:11:48"
"2930","2023-08-31 10:11:28"
"2932","2023-08-31 10:13:28"
"2937","2023-08-31 10:10:20"
"2943","2023-08-31 10:11:00"
"2951","2023-08-31 10:11:54"
"2952","2023-08-31 10:42:21"
"2954","2023-08-31 11:19:17"
"2955","2023-08-31 11:02:09"
"2963","2023-08-31 11:18:48"
"2970","2023-08-31 11:38:17"
"2973","2023-08-31 10:37:53"
"2977","2023-08-31 10:44:47"
"2978","2023-08-31 10:34:44"
"2981","2023-08-31 10:14:39"
"2987","2023-08-31 10:11:25"
"2990","2023-08-31 10:11:24"
"2991","2023-08-31 10:48:07"
"2992","2023-08-31 10:11:11"
"2995","2023-08-31 11:08:02"
"2996","2023-08-31 11:07:23"
"2998","2023-08-31 10:45:32"
"2999","2023-08-31 10:45:29"
"3001","2023-08-31 10:11:22"
"3010","2023-08-31 10:10:39"
"3011","2023-08-31 10:11:13"
