"hr","mn","count(*)"
"12","5","11"
"12","6","17"
"12","7","11"
"12","8","8"
"12","9","9"
"12","10","7"
"12","11","3"
"12","12","1"
"12","14","1"
"12","15","1"
"12","16","1"
"12","17","12"
"12","18","5"
"12","19","1"
"12","20","4"
"12","21","1"
"12","22","1"
"12","23","1"
"12","25","4"
"12","26","3"
"12","27","8"
"12","28","4"
"12","29","7"
"12","30","6"
"12","31","2"
"12","32","3"
"12","33","3"
"12","34","2"
"12","35","3"
"12","36","6"
"12","37","2"
"12","38","5"
"12","39","2"
"12","44","1"
"12","45","4"
"12","46","4"
"12","47","4"
"12","49","2"
"12","51","2"
"12","52","1"
"12","53","2"
"12","54","1"
"12","55","3"
"12","56","2"
"12","57","4"
"12","59","3"
"13","0","1"
"13","1","3"
"13","2","4"
"13","3","1"
"13","4","1"
"13","5","2"
"13","6","4"
"13","7","2"
"13","8","1"
"13","9","3"
"13","10","5"
"13","11","2"
"13","12","2"
"13","14","1"
"13","15","4"
"13","19","2"
"13","20","1"
"13","21","1"
"13","22","1"
"13","26","1"
"13","27","2"
"13","28","1"
"13","30","1"
"13","34","2"
"13","35","1"
"13","37","2"
"13","40","1"
"13","43","1"
